overhead_min,policy,source_grid,start_ts,total_carbon_gco2,baseline_carbon_gco2,migration_count
55,2,ISNE,1593648000,1359.8,60010.9,1
55,2,ISNE,1594965600,997.6,60652.1,1
55,2,ISNE,1596283200,1209.5,65480.4,1
55,2,ISNE,1597600800,1206.7,58846.6,1
55,2,ISNE,1598918400,1301.5,57424.7,1
55,2,ISNE,1600236000,1110.0,62614.0,1
55,2,ISNE,1601553600,1068.9,58707.0,1
55,2,ISNE,1602871200,1272.6,48506.0,1
55,2,ISNE,1604188800,1307.7,57344.4,1
55,2,ISNE,1605506400,807.1,48474.1,1
55,2,ISNE,1606824000,748.7,42760.8,1
55,2,ISNE,1608141600,1602.1,73373.0,1
55,6,ISNE,1577836800,1164.8,48200.2,1
55,6,ISNE,1579154400,943.0,53589.5,1
55,6,ISNE,1580472000,1173.2,56507.7,1
55,6,ISNE,1581789600,1103.0,49564.2,1
55,6,ISNE,1583107200,1084.9,50118.7,1
55,6,ISNE,1584424800,709.9,42377.2,1
55,6,ISNE,1585742400,1094.3,53849.8,1
55,6,ISNE,1587060000,953.8,48008.7,1
55,6,ISNE,1588377600,1002.5,32426.0,1
55,6,ISNE,1589695200,643.2,38015.5,1
55,6,ISNE,1591012800,1063.9,52748.5,1
55,6,ISNE,1592330400,1141.3,53254.8,1
55,6,ISNE,1593648000,1359.8,60010.9,1
55,6,ISNE,1594965600,997.6,60652.1,1
55,6,ISNE,1596283200,1209.5,65480.4,1
55,6,ISNE,1597600800,1206.7,58846.6,1
55,6,ISNE,1598918400,1301.5,57424.7,1
55,6,ISNE,1600236000,1110.0,62614.0,1
55,6,ISNE,1601553600,1068.9,58707.0,1
55,6,ISNE,1602871200,1272.6,48506.0,1
55,6,ISNE,1604188800,1307.7,57344.4,1
55,6,ISNE,1605506400,807.1,48474.1,1
55,6,ISNE,1606824000,748.7,42760.8,1
55,6,ISNE,1608141600,1602.1,73373.0,1
60,2,ISNE,1577836800,1164.8,48200.2,1
60,2,ISNE,1579154400,943.0,53589.5,1
60,2,ISNE,1580472000,1173.2,56507.7,1
60,2,ISNE,1581789600,1103.0,49564.2,1
60,2,ISNE,1583107200,1084.9,50118.7,1
60,2,ISNE,1584424800,709.9,42377.2,1
60,2,ISNE,1585742400,1094.3,53849.8,1
60,2,ISNE,1587060000,953.8,48008.7,1
60,2,ISNE,1588377600,1002.5,32426.0,1
60,2,ISNE,1589695200,643.2,38015.5,1
60,2,ISNE,1591012800,1063.9,52748.5,1
60,2,ISNE,1592330400,1141.3,53254.8,1
60,2,ISNE,1593648000,1359.8,60010.9,1
60,2,ISNE,1594965600,997.6,60652.1,1
60,2,ISNE,1596283200,1209.5,65480.4,1
60,2,ISNE,1597600800,1206.7,58846.6,1
60,2,ISNE,1598918400,1301.5,57424.7,1
60,2,ISNE,1600236000,1110.0,62614.0,1
60,2,ISNE,1601553600,1068.9,58707.0,1
60,2,ISNE,1602871200,1272.6,48506.0,1
60,2,ISNE,1604188800,1307.7,57344.4,1
60,2,ISNE,1605506400,807.1,48474.1,1
60,2,ISNE,1606824000,748.7,42760.8,1
60,2,ISNE,1608141600,1602.1,73373.0,1
60,6,ISNE,1577836800,1164.8,48200.2,1
60,6,ISNE,1579154400,943.0,53589.5,1
60,6,ISNE,1580472000,1173.2,56507.7,1
60,6,ISNE,1581789600,1103.0,49564.2,1
60,6,ISNE,1583107200,1084.9,50118.7,1
60,6,ISNE,1584424800,709.9,42377.2,1
60,6,ISNE,1585742400,1094.3,53849.8,1
60,6,ISNE,1587060000,953.8,48008.7,1
60,6,ISNE,1588377600,1002.5,32426.0,1
60,6,ISNE,1589695200,643.2,38015.5,1
60,6,ISNE,1591012800,1063.9,52748.5,1
60,6,ISNE,1592330400,1141.3,53254.8,1
60,6,ISNE,1593648000,1359.8,60010.9,1
60,6,ISNE,1594965600,997.6,60652.1,1
60,6,ISNE,1596283200,1209.5,65480.4,1
60,6,ISNE,1597600800,1206.7,58846.6,1
60,6,ISNE,1598918400,1301.5,57424.7,1
60,6,ISNE,1600236000,1110.0,62614.0,1
60,6,ISNE,1601553600,1068.9,58707.0,1
60,6,ISNE,1602871200,1272.6,48506.0,1
60,6,ISNE,1604188800,1307.7,57344.4,1
60,6,ISNE,1605506400,807.1,48474.1,1
60,6,ISNE,1606824000,748.7,42760.8,1
60,6,ISNE,1608141600,1602.1,73373.0,1
